CId,Mean,Median,P99,TMedian,TP99,Error,Count
202,604.52,594.00,845.00,594.00,910.90,7.80,120.00
949,1026.03,1105.00,1117.00,1105.00,1119.00,0.18,39.00
255,601.50,601.50,601.50,601.50,628.00,4.41,2.00
460,665.62,694.00,973.50,694.00,973.73,0.02,277.00
384,580.12,559.00,771.50,559.00,793.00,2.79,49.00
20932,17761.94,651.00,518771.00,651.00,518812.76,0.01,971.00
979,589.00,589.00,589.00,589.00,598.00,1.53,2.00
21972,592.00,592.00,592.00,592.00,592.00,0.00,1.00
40542,670.50,568.00,1422.50,568.00,2155.00,51.49,18.00
21717,25150.58,619.00,1157972.50,619.00,1164959.20,0.60,2570.00
12029,1546.59,727.00,1734.50,727.00,1734.69,0.01,481.00
70064,459.35,457.00,753.50,457.17,754.00,0.07,2018.00
12670,519.00,519.00,519.00,519.00,519.00,0.00,1.00
40597,1266.15,729.00,1225.50,729.00,1228.09,0.21,793.00
40477,591.39,532.00,1580.50,532.00,1779.64,12.60,739.00
40511,741.63,720.50,947.00,720.50,1004.40,6.06,206.00
693,557.57,553.00,693.00,553.00,701.40,1.21,58.00
11252,2597.13,873.00,9746.50,873.04,11067.81,13.56,45275.00
12801,18255.95,740.00,1016446.50,740.00,1016469.29,0.00,421.00
20648,64776.02,676.00,1496712.50,676.00,1496991.80,0.02,1745.00
10103,523.00,525.00,568.00,525.00,572.00,0.70,4.00
40314,1342.65,946.00,2982.50,946.00,3514.00,17.82,17.00
75,594.08,588.00,814.00,588.00,871.60,7.08,52.00
41185,1113.43,788.00,2459.50,788.00,2745.00,11.61,14.00
41656,545.43,571.00,665.00,571.00,691.00,3.91,14.00
40053,801.25,530.50,1173.00,530.50,1734.00,47.83,4.00
498,1305.39,709.00,4277.00,709.12,4277.00,0.00,7166.00
20265,1985.69,598.00,1449.50,598.00,1453.88,0.30,694.00
22250,610.50,615.50,701.00,615.50,719.00,2.57,8.00
12777,2905.27,698.50,1480.00,698.50,2502.54,69.09,536.00
12805,599.00,599.00,599.00,599.00,599.00,0.00,1.00
365,538.98,550.50,647.00,550.50,711.10,9.91,108.00
100,619.21,600.00,1089.00,600.00,1151.28,5.72,119.00
10265,576.01,590.00,802.00,590.00,810.02,1.00,416.00
41253,924.37,769.00,2658.50,769.00,2660.58,0.08,84.00
70124,562.02,562.50,779.50,562.50,901.90,15.70,52.00
11274,1456.80,1458.00,2962.50,1458.00,2963.80,0.04,74.00
12770,586.19,575.00,802.50,575.00,893.00,11.28,48.00
12697,693.44,675.00,868.50,675.00,887.00,2.13,16.00
22951,25318.28,565.00,483402.00,565.00,966076.00,99.85,39.00
41124,737.50,737.50,737.50,737.50,866.00,17.42,2.00
492,623.18,638.50,691.50,638.50,691.82,0.05,68.00
400,563.67,560.00,575.00,560.00,575.00,0.00,9.00
61,866.72,619.00,1399.00,619.19,1400.92,0.14,2804.00
